student_id,archetype_used_for_generation
1,high_allround
2,developing
3,technical_strong_soft_weak
4,developing
5,technical_strong_soft_weak
6,technical_strong_soft_weak
7,technical_strong_soft_weak
8,high_allround
9,high_allround
10,average_balanced
11,security_focused
12,high_allround
13,high_allround
14,developing
15,technical_strong_soft_weak
16,high_allround
17,technical_strong_soft_weak
18,high_allround
19,high_allround
20,high_allround
21,high_allround
22,security_focused
23,security_focused
24,security_focused
25,high_allround
26,security_focused
27,security_focused
28,security_focused
29,security_focused
30,technical_strong_soft_weak
31,technical_strong_soft_weak
32,security_focused
33,average_balanced
34,technical_strong_soft_weak
35,developing
36,high_allround
37,developing
38,developing
39,security_focused
40,high_allround
41,average_balanced
42,high_allround
43,technical_strong_soft_weak
44,technical_strong_soft_weak
45,average_balanced
46,high_allround
47,developing
48,high_allround
49,security_focused
50,technical_strong_soft_weak
51,developing
52,technical_strong_soft_weak
53,average_balanced
54,technical_strong_soft_weak
55,security_focused
56,developing
57,technical_strong_soft_weak
58,high_allround
59,security_focused
60,security_focused
61,average_balanced
62,technical_strong_soft_weak
63,security_focused
64,developing
65,technical_strong_soft_weak
66,high_allround
67,developing
68,security_focused
69,average_balanced
70,high_allround
71,technical_strong_soft_weak
72,security_focused
73,average_balanced
74,developing
75,security_focused
76,high_allround
77,technical_strong_soft_weak
78,technical_strong_soft_weak
79,average_balanced
80,technical_strong_soft_weak
81,high_allround
82,developing
83,developing
84,average_balanced
85,high_allround
86,technical_strong_soft_weak
87,developing
88,technical_strong_soft_weak
89,security_focused
90,developing
91,technical_strong_soft_weak
92,technical_strong_soft_weak
93,technical_strong_soft_weak
94,developing
95,average_balanced
96,high_allround
97,developing
98,average_balanced
99,technical_strong_soft_weak
100,high_allround
101,security_focused
102,developing
103,technical_strong_soft_weak
104,average_balanced
105,technical_strong_soft_weak
106,security_focused
107,technical_strong_soft_weak
108,developing
109,developing
110,security_focused
111,security_focused
112,technical_strong_soft_weak
113,technical_strong_soft_weak
114,security_focused
115,average_balanced
116,developing
117,high_allround
118,average_balanced
119,average_balanced
120,high_allround
121,average_balanced
122,developing
123,security_focused
124,security_focused
125,high_allround
126,technical_strong_soft_weak
127,average_balanced
128,high_allround
129,developing
130,high_allround
131,security_focused
132,technical_strong_soft_weak
133,technical_strong_soft_weak
134,developing
135,security_focused
136,technical_strong_soft_weak
137,developing
138,high_allround
139,high_allround
140,high_allround
141,average_balanced
142,high_allround
143,average_balanced
144,technical_strong_soft_weak
145,high_allround
146,high_allround
147,high_allround
148,high_allround
149,high_allround
150,average_balanced
151,high_allround
152,developing
153,technical_strong_soft_weak
154,technical_strong_soft_weak
155,developing
156,technical_strong_soft_weak
157,technical_strong_soft_weak
158,average_balanced
159,average_balanced
160,security_focused
161,high_allround
162,security_focused
163,developing
164,security_focused
165,developing
166,high_allround
167,developing
168,high_allround
169,high_allround
170,average_balanced
171,high_allround
172,security_focused
173,developing
174,high_allround
175,developing
176,developing
177,developing
178,security_focused
179,security_focused
180,high_allround
181,high_allround
182,security_focused
183,high_allround
184,developing
185,security_focused
186,developing
187,average_balanced
188,high_allround
189,average_balanced
190,average_balanced
191,technical_strong_soft_weak
192,developing
193,technical_strong_soft_weak
194,average_balanced
195,average_balanced
196,high_allround
197,developing
198,average_balanced
199,developing
200,high_allround
201,high_allround
202,security_focused
203,average_balanced
204,high_allround
205,high_allround
206,security_focused
207,high_allround
208,average_balanced
209,technical_strong_soft_weak
210,developing
211,technical_strong_soft_weak
212,developing
213,high_allround
214,high_allround
215,high_allround
216,high_allround
217,average_balanced
218,high_allround
219,security_focused
220,high_allround
221,high_allround
222,developing
223,developing
224,technical_strong_soft_weak
225,average_balanced
226,average_balanced
227,high_allround
228,security_focused
229,security_focused
230,high_allround
231,average_balanced
232,security_focused
233,technical_strong_soft_weak
234,security_focused
235,average_balanced
236,security_focused
237,average_balanced
238,developing
239,security_focused
240,high_allround
241,security_focused
242,average_balanced
243,technical_strong_soft_weak
244,high_allround
245,high_allround
246,technical_strong_soft_weak
247,technical_strong_soft_weak
248,high_allround
249,average_balanced
250,average_balanced
251,security_focused
252,developing
253,technical_strong_soft_weak
254,average_balanced
255,high_allround
256,developing
257,high_allround
258,security_focused
259,security_focused
260,high_allround
261,technical_strong_soft_weak
262,security_focused
263,security_focused
264,technical_strong_soft_weak
265,high_allround
266,developing
267,developing
268,high_allround
269,developing
270,developing
271,technical_strong_soft_weak
272,technical_strong_soft_weak
273,security_focused
274,developing
275,technical_strong_soft_weak
276,security_focused
277,high_allround
278,technical_strong_soft_weak
279,security_focused
280,developing
281,average_balanced
282,average_balanced
283,high_allround
284,average_balanced
285,average_balanced
286,developing
287,average_balanced
288,average_balanced
289,average_balanced
290,developing
291,average_balanced
292,technical_strong_soft_weak
293,technical_strong_soft_weak
294,developing
295,average_balanced
296,developing
297,security_focused
298,technical_strong_soft_weak
299,average_balanced
300,security_focused
