student_id,cgpa,coding_skill,dsa_skill,math_aptitude,communication_skill,security_knowledge,projects_count,internships_count,certifications_count
1,7.3,9.4,9.1,5.7,5.9,6.7,6,2,2
2,6.6,4.4,3.1,5.4,5.1,2.0,1,0,1
3,7.3,7.7,10.0,7.3,3.5,5.1,6,1,2
4,6.0,6.1,2.5,3.4,3.5,3.7,2,0,0
5,8.3,9.4,9.2,6.7,4.3,5.6,5,2,2
6,8.3,8.6,8.8,8.3,2.3,5.1,4,0,2
7,6.5,9.7,6.5,7.1,4.2,6.2,6,2,2
8,7.9,9.5,7.8,6.5,6.1,5.4,7,2,4
9,8.7,9.3,7.6,8.5,6.7,6.1,6,1,4
10,5.9,5.5,5.6,6.0,6.3,4.4,2,1,0
11,5.4,5.3,6.0,4.9,4.5,10.0,4,2,2
12,8.3,7.4,7.6,9.0,5.4,7.0,6,1,1
13,7.9,8.8,8.0,9.9,7.2,5.3,6,2,5
14,6.5,3.9,4.8,2.6,3.7,1.9,1,0,1
15,5.7,7.3,8.9,8.5,6.4,9.0,5,0,0
16,8.8,7.5,7.5,7.3,7.3,7.8,6,2,2
17,6.9,8.4,10.0,7.7,5.2,4.9,4,0,1
18,10.0,7.5,9.0,6.9,8.6,7.0,6,2,2
19,8.0,7.0,6.5,8.2,9.4,6.7,6,2,5
20,8.8,8.0,9.3,8.5,9.3,6.7,5,0,5
21,8.3,8.0,9.8,6.7,6.4,7.3,6,2,3
22,7.4,8.2,5.6,6.8,2.5,8.4,3,0,2
23,8.1,4.9,5.5,5.4,4.6,9.7,5,3,3
24,6.2,6.2,5.8,6.2,3.7,8.6,4,4,5
25,8.2,6.7,7.3,8.4,8.9,5.6,5,0,3
26,5.7,5.9,4.4,5.9,2.9,6.7,7,0,2
27,10.0,5.1,5.1,6.4,7.1,7.3,4,2,4
28,6.5,6.3,3.9,5.7,4.7,8.8,3,2,4
29,7.4,6.6,5.5,5.1,5.4,8.4,7,3,3
30,6.6,7.2,9.9,7.8,4.6,3.4,6,2,1
31,7.8,8.6,8.1,7.4,3.7,5.7,7,0,2
32,7.2,6.9,5.1,3.9,5.4,10.0,2,2,3
33,5.2,5.1,6.6,6.2,7.6,5.9,4,3,2
34,8.5,8.1,8.6,6.7,5.2,4.1,6,1,3
35,7.7,4.4,1.1,3.9,3.1,2.4,3,1,0
36,7.3,8.5,6.5,7.2,7.9,7.9,7,0,3
37,6.0,5.4,0.5,3.3,5.2,1.1,3,0,1
38,4.8,4.5,4.3,4.3,4.8,3.3,0,0,0
39,8.2,5.2,5.3,7.8,4.1,7.5,4,2,3
40,10.0,9.5,9.0,8.7,10.0,6.3,4,4,2
41,8.1,3.6,3.5,3.6,4.5,5.0,4,1,0
42,5.7,8.6,7.4,8.6,8.3,6.7,7,2,4
43,7.3,8.7,9.5,7.0,4.6,5.2,5,2,0
44,5.9,6.7,5.7,6.7,4.9,5.2,5,2,4
45,5.6,7.1,5.1,4.5,4.8,2.7,2,1,2
46,10.0,6.8,8.5,6.8,8.1,6.3,4,3,2
47,4.2,2.7,3.5,3.8,4.9,3.4,3,0,0
48,9.8,8.1,9.3,8.5,7.3,6.9,8,4,3
49,8.3,5.5,5.9,6.0,5.4,7.5,2,0,2
50,6.9,8.1,10.0,8.8,2.8,5.9,5,1,2
51,5.1,4.8,1.6,4.0,7.6,3.3,3,0,1
52,7.4,8.3,7.6,8.0,3.0,6.3,6,1,2
53,6.1,6.6,2.8,5.1,3.1,2.7,5,2,0
54,5.7,4.9,7.8,10.0,4.5,4.8,6,0,2
55,6.9,7.4,5.9,6.8,4.2,9.6,6,0,2
56,7.1,3.3,4.7,3.5,6.2,3.2,1,2,0
57,7.0,9.0,6.6,8.3,3.4,6.9,2,0,0
58,7.5,8.8,7.8,7.7,7.3,6.7,5,3,4
59,7.7,6.9,7.9,5.9,4.6,7.6,3,0,2
60,6.9,6.9,5.6,5.1,6.1,9.4,4,0,4
61,4.8,5.4,5.3,4.4,5.7,2.8,5,2,1
62,7.9,5.6,7.1,7.1,2.7,6.4,7,0,1
63,8.9,5.0,5.8,8.2,3.0,7.0,3,0,4
64,5.8,1.4,3.6,3.3,6.0,2.2,0,1,1
65,5.5,9.1,7.3,7.8,2.3,6.0,4,0,3
66,8.8,7.8,9.7,7.5,7.5,6.8,5,3,2
67,7.1,2.3,0.1,5.9,7.6,2.5,0,0,0
68,6.8,5.2,6.2,6.6,3.2,9.3,6,1,3
69,7.2,3.4,5.2,5.0,7.7,4.3,5,0,2
70,8.9,7.5,8.2,9.5,7.1,4.5,6,1,3
71,5.5,6.6,9.1,6.9,0.9,6.4,5,0,0
72,8.0,6.9,8.4,6.5,5.5,8.3,5,2,5
73,6.0,4.9,5.9,7.3,4.9,4.0,3,1,2
74,2.8,2.5,2.1,1.2,3.3,1.9,1,1,0
75,6.9,7.8,4.3,4.9,5.7,8.2,5,1,4
76,7.3,8.5,7.7,6.5,5.6,7.3,6,1,3
77,4.8,6.7,7.4,9.3,4.3,6.4,4,0,3
78,7.6,9.2,8.3,7.8,4.2,6.4,6,0,0
79,7.9,4.3,2.8,5.6,6.6,6.7,4,1,0
80,7.5,8.1,7.3,10.0,6.1,6.9,4,2,3
81,10.0,9.3,8.9,8.8,7.9,4.4,6,1,1
82,7.5,5.6,4.6,4.3,6.1,3.0,1,0,0
83,3.9,3.4,2.9,6.2,5.6,3.0,1,0,0
84,5.2,5.3,4.1,4.0,6.1,5.0,1,1,2
85,9.7,8.5,7.0,6.7,7.9,7.0,8,3,3
86,6.0,8.1,8.8,7.3,3.3,5.8,4,0,2
87,5.8,3.8,1.6,3.4,6.2,1.6,0,0,0
88,7.5,8.4,10.0,4.3,4.5,7.4,4,1,1
89,6.6,8.2,7.7,5.6,7.3,8.5,6,1,3
90,5.9,7.3,4.0,3.2,5.7,2.6,0,1,0
91,7.5,8.9,9.0,5.2,4.8,4.3,3,1,2
92,6.7,9.5,6.9,7.0,3.3,5.4,5,0,3
93,5.2,6.1,8.5,7.2,3.9,5.5,5,2,1
94,4.1,2.2,3.3,5.5,4.0,0.0,0,0,0
95,6.5,5.1,6.3,4.7,4.5,5.1,1,1,1
96,8.3,10.0,7.3,10.0,7.2,5.0,6,1,2
97,6.2,2.8,4.2,5.4,6.2,3.6,3,0,0
98,5.5,5.6,4.3,5.3,7.8,4.3,3,1,1
99,8.0,9.9,10.0,7.9,4.7,4.1,5,2,3
100,8.8,9.6,8.6,9.4,7.8,6.1,6,0,3
101,4.9,7.0,6.1,4.6,4.1,10.0,3,4,3
102,6.0,5.4,3.2,2.8,4.4,3.0,0,0,0
103,7.5,8.2,8.4,7.8,4.7,4.3,4,2,2
104,4.8,6.0,5.6,3.7,5.8,5.4,3,2,0
105,7.1,7.9,9.5,9.3,6.2,7.1,5,1,3
106,7.1,6.7,6.5,5.9,4.1,8.0,5,1,3
107,7.1,9.4,9.0,6.0,5.7,4.9,3,0,1
108,5.6,3.2,2.6,4.7,4.9,3.4,1,1,0
109,2.9,3.5,3.0,5.3,5.9,3.2,0,1,0
110,7.0,7.7,4.8,7.0,5.8,7.4,5,2,3
111,6.0,5.9,6.2,4.9,5.5,7.0,4,1,5
112,5.8,10.0,8.7,8.0,4.1,6.0,5,3,1
113,6.7,8.4,7.2,8.0,5.7,5.4,5,0,2
114,5.1,5.4,5.8,7.6,8.4,7.8,6,1,3
115,6.6,5.6,4.5,3.8,3.6,5.3,3,0,1
116,6.5,3.7,2.2,5.5,6.4,3.6,2,1,1
117,9.2,9.1,6.7,8.8,5.9,5.5,8,3,5
118,6.2,4.1,4.7,5.6,5.6,5.9,3,1,0
119,6.5,4.6,4.7,5.3,5.2,6.6,3,1,0
120,7.4,8.2,7.2,9.7,7.3,8.0,6,2,3
121,8.6,2.7,2.6,4.8,5.5,5.3,4,1,2
122,6.7,3.7,4.2,4.3,3.8,3.8,1,0,2
123,5.3,5.1,5.1,5.7,3.2,7.3,3,4,5
124,6.5,6.1,4.1,3.7,4.9,7.3,4,0,2
125,8.9,9.0,6.4,9.0,6.5,7.3,6,0,3
126,7.9,9.2,8.3,9.3,5.2,5.2,6,3,4
127,5.4,7.3,3.7,3.9,4.9,5.0,3,0,0
128,7.6,7.4,10.0,8.4,8.6,5.9,6,1,0
129,3.3,0.8,1.6,5.6,4.4,4.5,1,1,0
130,9.1,9.4,7.3,8.7,8.2,5.8,5,1,3
131,6.0,6.5,6.2,6.7,6.9,10.0,3,3,2
132,8.8,8.6,8.0,5.3,3.8,3.6,6,3,1
133,6.6,7.7,9.4,7.5,6.1,4.9,6,1,3
134,5.0,3.4,2.9,3.0,5.3,3.8,2,2,2
135,7.4,5.8,5.5,5.3,6.9,8.9,4,2,0
136,5.1,9.5,8.6,7.8,2.4,5.5,7,2,2
137,5.0,0.9,3.3,5.0,2.6,2.2,0,0,0
138,6.0,9.2,8.9,7.7,4.5,5.3,7,0,3
139,9.5,7.7,8.5,8.7,9.7,6.3,6,0,4
140,7.6,7.8,8.0,6.1,7.8,7.7,6,0,3
141,4.2,4.2,6.1,5.8,6.0,6.7,4,2,4
142,8.2,7.5,8.5,8.5,6.9,5.3,9,2,2
143,6.4,5.2,5.7,3.9,5.9,6.8,4,1,0
144,7.0,8.2,8.0,8.6,1.9,6.5,5,1,1
145,10.0,9.7,6.2,9.0,8.0,4.6,6,2,4
146,8.7,8.8,9.8,9.5,4.1,6.1,6,0,3
147,7.2,8.9,6.9,7.2,9.3,5.8,7,0,5
148,9.2,8.3,8.7,6.3,8.9,6.1,6,1,2
149,8.8,9.3,8.0,8.6,7.0,9.2,4,4,5
150,5.5,8.2,6.2,6.7,5.5,4.2,3,1,3
151,7.4,9.5,9.1,8.8,8.4,6.2,5,1,1
152,5.8,3.4,2.5,0.5,3.0,4.3,0,0,0
153,7.3,8.8,10.0,9.3,3.6,4.8,5,2,2
154,7.0,10.0,8.4,10.0,4.1,7.6,5,2,1
155,6.1,4.7,3.0,2.5,2.9,1.3,0,0,1
156,7.5,5.8,8.3,7.3,6.5,3.8,5,3,3
157,7.6,8.9,9.4,6.5,5.1,3.9,5,1,1
158,6.5,4.8,3.7,5.1,4.2,4.9,2,2,0
159,5.8,7.1,5.4,5.2,6.1,2.0,3,3,1
160,7.1,7.2,6.6,3.6,3.0,8.8,3,3,3
161,7.0,5.2,7.7,7.8,7.0,7.8,7,2,0
162,7.7,7.2,5.9,7.2,3.6,10.0,3,2,1
163,7.3,3.2,4.0,4.3,4.4,4.6,1,0,0
164,7.7,7.0,3.6,5.1,4.3,8.1,2,0,2
165,6.5,3.3,2.5,4.2,3.5,1.6,0,0,0
166,8.7,9.4,6.1,8.0,7.2,6.9,6,0,1
167,6.7,0.8,3.4,5.4,4.3,3.7,0,0,0
168,5.7,9.6,6.8,7.5,5.8,4.8,6,1,3
169,8.9,8.8,9.9,6.7,7.4,7.9,8,0,3
170,8.1,6.1,5.2,5.2,5.0,4.8,3,1,1
171,9.1,10.0,5.9,8.4,6.6,7.2,6,3,4
172,7.2,7.9,2.7,7.9,5.5,9.8,3,0,3
173,5.8,4.8,0.9,5.2,4.5,2.8,0,1,0
174,9.3,6.7,8.1,7.9,8.9,6.3,5,1,5
175,5.0,3.2,1.1,4.5,2.4,3.9,1,3,0
176,5.4,5.7,4.4,3.2,4.8,3.0,1,0,0
177,5.7,4.0,2.7,2.1,5.7,3.4,0,0,0
178,5.8,5.9,7.0,5.2,5.8,7.9,4,1,4
179,5.1,4.8,4.9,4.5,5.5,7.9,7,0,3
180,7.1,7.9,8.2,5.2,7.8,8.8,5,2,4
181,7.8,5.8,8.8,7.9,6.3,6.7,5,1,4
182,5.4,7.8,3.8,5.2,7.3,9.9,4,0,2
183,8.5,8.4,8.0,7.7,5.8,5.9,7,0,3
184,4.5,3.6,2.5,5.8,5.1,1.4,2,0,0
185,6.4,7.6,4.6,5.3,4.2,7.8,5,2,5
186,8.2,2.3,3.1,2.6,3.6,2.2,0,0,0
187,7.5,4.4,8.4,5.0,5.6,2.9,5,2,1
188,6.9,8.8,6.7,9.8,8.5,6.6,3,1,4
189,7.8,3.6,5.4,6.7,3.5,4.5,3,1,0
190,6.1,5.1,4.8,4.8,5.0,4.5,4,1,1
191,5.2,9.1,8.5,7.5,5.2,3.2,3,1,2
192,5.7,2.9,3.8,5.1,5.1,2.7,0,1,1
193,6.4,9.3,9.5,9.4,2.9,5.2,6,1,1
194,7.0,6.2,5.1,5.8,5.2,6.3,2,0,1
195,4.7,3.9,2.6,5.5,4.2,4.0,4,0,1
196,8.1,9.3,8.6,7.2,7.3,7.8,6,0,4
197,7.2,4.7,3.3,4.2,4.2,3.8,1,0,1
198,5.8,4.8,3.6,4.2,3.3,5.4,5,3,0
199,7.2,3.0,3.1,1.6,4.8,1.7,1,0,1
200,9.7,7.6,6.6,5.4,7.2,5.8,4,3,2
201,7.8,9.8,8.7,7.8,8.2,5.1,6,2,2
202,7.5,5.6,6.1,6.7,1.5,9.9,0,0,4
203,4.7,4.2,6.2,3.2,6.9,4.4,2,0,0
204,9.5,9.4,5.9,7.5,6.5,8.1,4,4,3
205,7.7,7.5,6.5,8.1,6.0,3.9,6,0,2
206,5.9,5.5,7.9,6.1,5.3,6.4,3,1,2
207,7.1,8.2,7.3,8.2,6.7,6.2,6,1,4
208,6.8,5.4,4.5,6.5,5.2,4.1,3,3,0
209,5.2,8.8,10.0,8.1,4.2,4.8,5,1,1
210,5.2,3.7,2.1,3.0,2.9,3.5,2,0,1
211,8.0,8.9,8.4,6.9,6.7,5.0,4,2,2
212,3.8,4.8,2.9,2.7,5.9,3.8,0,2,1
213,8.7,8.5,7.2,8.7,8.1,6.5,5,2,3
214,6.9,6.7,8.7,4.9,7.7,5.9,8,1,4
215,8.6,9.4,7.4,9.2,6.3,6.9,7,3,5
216,7.6,6.8,6.8,8.8,8.1,6.6,5,3,2
217,9.9,5.9,5.7,4.9,3.3,3.8,2,0,3
218,8.8,9.0,7.6,7.8,8.7,6.5,7,2,3
219,4.6,6.2,5.6,4.5,5.0,8.6,1,0,3
220,9.0,7.1,8.2,9.2,8.4,6.4,5,1,4
221,9.3,8.7,9.0,8.1,8.4,7.5,5,0,5
222,5.8,1.4,2.1,4.9,4.2,2.4,3,0,0
223,6.0,4.1,4.1,4.2,5.1,2.7,1,0,0
224,8.4,9.2,8.6,6.5,4.1,5.5,5,4,1
225,7.8,5.6,7.8,5.0,5.9,3.5,3,1,2
226,6.9,7.0,4.9,5.1,8.7,5.0,2,0,0
227,8.1,8.7,7.9,8.9,6.5,5.2,6,3,3
228,6.0,7.3,4.6,5.4,3.9,10.0,5,2,4
229,4.9,5.6,4.8,5.0,3.7,8.1,3,1,3
230,9.1,9.1,8.7,7.6,10.0,6.8,4,1,1
231,6.4,4.9,7.4,6.2,6.4,3.4,2,1,1
